caseID;resp.cat;DAY;RD;LRR;var.lrr
CK001_1;biomass;0;0;-0.603290851;0.061374747
CK001_1;biomass;425;0.537974684;-1.410371434;0.056283327
CK001_1;biomass;790;1;0.13694833;0.041839704
CK001_1;composition;0;0;0.291888102;
CK001_1;composition;425;0.537974684;0.78743157;
CK001_1;composition;790;1;0.982347577;
CK001_1;index;0;0;-0.083991063;0.001581324
CK001_1;index;425;0.537974684;0.257794629;0.001058171
CK001_1;index;790;1;0.21705387;0.000996715
CK002_1;abundance;0;0;0.063513406;0.036929535
CK002_1;abundance;1;0.011111111;-0.592051064;0.099404849
CK002_1;abundance;30;0.333333333;0.015267472;0.012647971
CK002_1;abundance;60;0.666666667;-0.975379648;0.070696907
CK002_1;abundance;90;1;-0.108213585;0.055297391
CK002_1;composition;0;0;0.087792601;
CK002_1;composition;1;0.011111111;0.430434465;
CK002_1;composition;30;0.333333333;0.11516912;
CK002_1;composition;60;0.666666667;0.49004707;
CK002_1;composition;90;1;0.082305901;
CK002_1;index;0;0;-0.01856489;0.000763599
CK002_1;index;1;0.011111111;-0.061410834;0.002619606
CK002_1;index;30;0.333333333;0;0.00109874
CK002_1;index;60;0.666666667;-0.025799957;0.000911263
CK002_1;index;90;1;0.075484924;0.0018671
CK002_2;abundance;0;0;-0.050430854;0.058271134
CK002_2;abundance;1;0.011111111;-1.285198244;0.060881673
CK002_2;abundance;30;0.333333333;-0.460815203;0.012229943
CK002_2;abundance;60;0.666666667;-0.527354926;0.070185697
CK002_2;abundance;90;1;-0.245834963;0.044023494
CK002_2;composition;0;0;0.020727958;
CK002_2;composition;1;0.011111111;0.703936958;
CK002_2;composition;30;0.333333333;0.237000543;
CK002_2;composition;60;0.666666667;0.271683907;
CK002_2;composition;90;1;0.122446403;
CK002_2;index;0;0;-0.092432656;0.002487726
CK002_2;index;1;0.011111111;-0.221325219;0.00319812
CK002_2;index;30;0.333333333;-0.173959221;0.001226148
CK002_2;index;60;0.666666667;-0.148808194;0.006424956
CK002_2;index;90;1;0.078941149;0.001865545
CK003_1;biomass;0;0;-0.259511195;0.080329343
CK003_1;biomass;365;0.333333333;-2.745437733;6.642629546
CK003_1;biomass;730;0.666666667;-0.983732013;0.199728909
CK003_1;biomass;1095;1;-0.791882021;0.166068069
CK003_1;composition;0;0;0.503511737;
CK003_1;composition;365;0.333333333;0.066810657;
CK003_1;composition;730;0.666666667;0.224903563;
CK003_1;composition;1095;1;0.288242479;
CK003_2;biomass;0;0;-0.267595314;0.086999055
CK003_2;biomass;365;0.333333333;-1.759498607;0.933903975
CK003_2;biomass;730;0.666666667;-1.091007689;0.212164745
CK003_2;biomass;1095;1;-0.709147522;0.134544541
CK003_2;composition;0;0;0.002568015;
CK003_2;composition;365;0.333333333;0.161398068;
CK003_2;composition;730;0.666666667;0.012049303;
CK003_2;composition;1095;1;0.174083949;
CK003_3;biomass;0;0;-0.244385267;0.02443353
CK003_3;biomass;365;0.333333333;-2.940043368;2.515502732
CK003_3;biomass;730;0.666666667;-1.144549384;0.07176038
CK003_3;biomass;1095;1;-0.968658717;0.048402819
CK003_3;composition;0;0;0.022393383;
CK003_3;composition;365;0.333333333;0.065581917;
CK003_3;composition;730;0.666666667;0.032883091;
CK003_3;composition;1095;1;0.033680144;
CK003_4;biomass;0;0;-0.235119742;0.064732333
CK003_4;biomass;365;0.333333333;-2.899588413;11.14149576
CK003_4;biomass;730;0.666666667;-1.031360062;0.239252178
CK003_4;biomass;1095;1;-0.75484075;0.169453763
CK003_4;composition;0;0;0.015626807;
CK003_4;composition;365;0.333333333;0.345526243;
CK003_4;composition;730;0.666666667;0.049755103;
CK003_4;composition;1095;1;0.074375044;
CK003_5;biomass;0;0;-0.139761942;0.068599055
CK003_5;biomass;365;0.333333333;-1.808288771;1.466874496
CK003_5;biomass;730;0.666666667;-0.57113223;0.091621835
CK003_5;biomass;1095;1;-0.191891008;0.067468517
CK003_5;composition;0;0;0.023637113;
CK003_5;composition;365;0.333333333;0.123232307;
CK003_5;composition;730;0.666666667;0.230820832;
CK003_5;composition;1095;1;0.262691938;
CK003_6;biomass;0;0;-0.568504735;0.030132506
CK003_6;biomass;365;0.333333333;-2.940043368;2.258558288
CK003_6;biomass;730;0.666666667;-1.023921396;0.062961475
CK003_6;biomass;1095;1;-0.979469633;0.063847255
CK003_6;composition;0;0;0.002899535;
CK003_6;composition;365;0.333333333;0.191851589;
CK003_6;composition;730;0.666666667;0.141590762;
CK003_6;composition;1095;1;0.120620667;
CK004_1;biomass;60;0.4;0.001329787;0.014028949
CK004_1;biomass;150;1;0.109162802;0.006589662
CK004_2;abundance;60;0.4;-0.15665381;0.065653768
CK004_2;abundance;150;1;0.374550745;0.115799714
CK004_2;composition;60;0.4;0.162;
CK004_2;composition;150;1;0.237;
CK004_2;index;60;0.4;0.189849823;
CK004_2;index;150;1;-0.108960132;
CK004_3;biomass;60;0.4;0.222487599;0.016067387
CK004_3;biomass;150;1;0.236481762;0.002945246
CK005_1;biomass;0;0;0.124454174;0.037098165
CK005_1;biomass;35;0.113636364;-2.277267285;0.075366636
CK005_1;biomass;308;1;-0.916290732;0.02125
CK005_1;composition;0;0;0.08845839;
CK005_1;composition;35;0.113636364;0.440581053;
CK005_1;composition;308;1;0.134776667;
CK005_1;index;0;0;0.071743905;0.000902981
CK005_1;index;35;0.113636364;-0.559615788;0.002699217
CK005_1;index;308;1;0.016901811;0.00154451
CK006_1;biomass;0;0;0.135482612;0.001701554
CK006_1;biomass;365;0.071428571;-1.070589439;0.006549367
CK006_1;biomass;730;0.142857143;-0.494844952;0.007191374
CK006_1;biomass;1095;0.214285714;-0.340057183;0.002361222
CK006_1;biomass;1460;0.285714286;-0.200433307;0.002561142
CK006_1;biomass;1825;0.357142857;-0.242280416;0.004406514
CK006_1;biomass;2190;0.428571429;-0.154833973;0.006830637
CK006_1;biomass;2555;0.5;-0.05314747;0.006804365
CK006_1;biomass;2920;0.571428571;-0.107117764;0.005983834
CK006_1;biomass;3285;0.642857143;-0.148721558;0.008281171
CK006_1;biomass;3650;0.714285714;-0.11686434;0.002110547
CK006_1;biomass;4015;0.785714286;-0.037457563;0.002808435
CK006_1;biomass;4380;0.857142857;-0.048435617;0.00117461
CK006_1;biomass;4745;0.928571429;-0.045393572;0.007960133
CK006_1;biomass;5110;1;-0.046091107;0.01092902
CK006_1;composition;0;0;0.178795548;
CK006_1;composition;365;0.071428571;0.357695108;
CK006_1;composition;730;0.142857143;0.476684117;
CK006_1;composition;1095;0.214285714;0.297992581;
CK006_1;composition;1460;0.285714286;0.496758312;
CK006_1;composition;1825;0.357142857;0.496550289;
CK006_1;composition;2190;0.428571429;0.397323441;
CK006_1;composition;2555;0.5;0.297888569;
CK006_1;composition;2920;0.571428571;0.27823042;
CK006_1;composition;3285;0.642857143;0.297888569;
CK006_1;composition;3650;0.714285714;0.039940367;
CK006_1;composition;4015;0.785714286;0.139063204;
CK006_1;composition;4380;0.857142857;0.09933086;
CK006_1;composition;4745;0.928571429;0.19866172;
CK006_1;composition;5110;1;0.158929376;
CK006_1;index;0;0;-0.009756175;0.00124209
CK006_1;index;365;0.071428571;-0.324776197;0.026528968
CK006_1;index;730;0.142857143;-0.129534052;0.019735653
CK006_1;index;1095;0.214285714;-0.104442663;0.034305603
CK006_1;index;1460;0.285714286;-0.143100844;0.019528271
CK006_1;index;1825;0.357142857;0.027150989;0.029518947
CK006_1;index;2190;0.428571429;0.122961711;0.007616229
CK006_1;index;2555;0.5;0;0.001795461
CK006_1;index;2920;0.571428571;0.008888947;0.01782308
CK006_1;index;3285;0.642857143;-0.038099846;0.015187329
CK006_1;index;3650;0.714285714;0.053109825;0.017920446
CK006_1;index;4015;0.785714286;0.122217633;0.002857867
CK006_1;index;4380;0.857142857;-0.019418086;0.006243936
CK006_1;index;4745;0.928571429;0.087861356;0.003560873
CK006_1;index;5110;1;0.148420005;0.02291962
CK006_2;biomass;0;0;0.075223421;0.001775905
CK006_2;biomass;365;0.071428571;-1.239529427;0.007628516
CK006_2;biomass;730;0.142857143;-0.607685951;0.006041304
CK006_2;biomass;1095;0.214285714;-0.427576561;0.00367236
CK006_2;biomass;1460;0.285714286;-0.187462956;0.003684315
CK006_2;biomass;1825;0.357142857;-0.268736986;0.004554686
CK006_2;biomass;2190;0.428571429;-0.166867813;0.004024748
CK006_2;biomass;2555;0.5;-0.075223421;0.007067985
CK006_2;biomass;2920;0.571428571;-0.14553478;0.006298942
CK006_2;biomass;3285;0.642857143;-0.105919019;0.00238686
CK006_2;biomass;3650;0.714285714;-0.144799117;0.004561685
CK006_2;biomass;4015;0.785714286;-0.103184236;0.005966778
CK006_2;biomass;4380;0.857142857;-0.086366839;0.004710491
CK006_2;biomass;4745;0.928571429;-0.125952409;0.004503139
CK006_2;biomass;5110;1;0.014903405;0.005530334
CK006_2;composition;0;0;0.079464688;
CK006_2;composition;365;0.071428571;0.079464688;
CK006_2;composition;730;0.142857143;0.000104011;
CK006_2;composition;1095;0.214285714;0.019970183;
CK006_2;composition;1460;0.285714286;0.297888569;
CK006_2;composition;1825;0.357142857;0.297992581;
CK006_2;composition;2190;0.428571429;0.178795548;
CK006_2;composition;2555;0.5;0.039732344;
CK006_2;composition;2920;0.571428571;0.019762161;
CK006_2;composition;3285;0.642857143;0.178587526;
CK006_2;composition;3650;0.714285714;0;
CK006_2;composition;4015;0.785714286;0.218631904;
CK006_2;composition;4380;0.857142857;0.059702527;
CK006_2;composition;4745;0.928571429;0.059702527;
CK006_2;composition;5110;1;0.119093021;
CK006_2;index;0;0;0.056618894;0.00071371
CK006_2;index;365;0.071428571;-0.336472237;0.015151472
CK006_2;index;730;0.142857143;-0.161969328;0.020350036
CK006_2;index;1095;0.214285714;-0.161061557;0.02300283
CK006_2;index;1460;0.285714286;-0.042559614;0.017316215
CK006_2;index;1825;0.357142857;-0.027908788;0.022348005
CK006_2;index;2190;0.428571429;0.036701367;0.016693895
CK006_2;index;2555;0.5;0.016807118;0.011149095
CK006_2;index;2920;0.571428571;0.060624622;0.015999047
CK006_2;index;3285;0.642857143;0.054558984;0.016912097
CK006_2;index;3650;0.714285714;0.053109825;0.020893098
CK006_2;index;4015;0.785714286;0.039220713;0.008388905
CK006_2;index;4380;0.857142857;0.019048195;0.007301427
CK006_2;index;4745;0.928571429;0.030153038;0.008356891
CK006_2;index;5110;1;-0.040821995;0.027750694
CK006_3;biomass;0;0;0.075223421;0.001775905
CK006_3;biomass;365;0.071428571;-1.976570801;0.00797387
CK006_3;biomass;730;0.142857143;-1.257420639;0.018469405
CK006_3;biomass;1095;0.214285714;-0.932323139;0.007320182
CK006_3;biomass;1460;0.285714286;-0.835262317;0.010733902
CK006_3;biomass;1825;0.357142857;-0.618161373;0.007462593
CK006_3;biomass;2190;0.428571429;-0.444112215;0.008059225
CK006_3;biomass;2555;0.5;-0.327814174;0.011079742
CK006_3;biomass;2920;0.571428571;-0.413397161;0.006697571
CK006_3;biomass;3285;0.642857143;-0.358830892;0.021334159
CK006_3;biomass;3650;0.714285714;-0.314173688;0.011486322
CK006_3;biomass;4015;0.785714286;-0.173536727;0.006664056
CK006_3;biomass;4380;0.857142857;-0.060920174;0.000716705
CK006_3;biomass;4745;0.928571429;-0.195424782;0.013614829
CK006_3;biomass;5110;1;-0.180521376;0.013674416
CK006_3;composition;0;0;0.258156225;
CK006_3;composition;365;0.071428571;0.437055785;
CK006_3;composition;730;0.142857143;0.97344243;
CK006_3;composition;1095;0.214285714;0.734944354;
